NPCType,NPCTypeID,MerchantType,Model,na6,na7,Country,NpcName,NpcWelcome,QuestStart,QuestEnd,Product
1,1,1,42,16,8000,1,Erina Probicio,Good Morning. You look like a good person and have a trustworthy voice.  We should talk.,,,1001 | 1011 | 2001 | 2011 | 5001 | 5011 | 6001 | 6011 | 7001 | 7011 | 8001 | 8011 | 9001 | 9011 | 12001 | 12011 | 13001 | 13011 | 14001 | 14011 | 15001 | 15011 | 10001 | 10011
1,2,2,38,16,8000,1,Sonya Bellone,"Did you come here to buy something? Please make it quick, I really hate waiting.",10,10,20001 | 21001 | 18001 | 17001 | 20086 | 21086 | 18086 | 17086 | 20171 | 21171 | 18171 | 17171 | 19001
1,3,3,38,16,8000,1,Tmic Dulkies,Hey there!  So what're you looking for?  Stuff?  Things?  What?  You're confused?  Well...,167,167,
1,4,4,42,16,8000,1,Clio Uodia,What did you roll around in? You stink... You need to take a bath.  I think there's a nice lake nearby.,,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,5,1,26,16,8000,1,Aira Selden,"You have a puzzled look on your face.  Are you confused as to why a beautiful woman is running a weapon shop?  I'm quite an accomplished warrior, don't let my appearance fool you.",,,1001 | 1011 | 2001 | 2011 | 5001 | 5011 | 6001 | 6011 | 7001 | 7011 | 8001 | 8011 | 9001 | 9011 | 12001 | 12011 | 13001 | 13011 | 14001 | 14011 | 15001 | 15011 | 10001 | 10011
1,6,2,13,16,8000,1,Kei Bierhawk,A woman's mind is as complex as it is transparent.  Her needs are many and few.j,9,9,20001 | 21001 | 18001 | 17001 | 20086 | 21086 | 18086 | 17086 | 20171 | 21171 | 18171 | 17171 | 19001
1,7,3,6,16,8000,1,Hoss Maiser,Take a look around if you have money to spend. Don't try to negotiate the prices or you'll be leaving my shop head first!,166,166,
1,8,4,10,16,8000,1,Rui Margarita,All men are pigs!  All they ever do is use women and break their hearts!,,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,9,1,13,16,8000,1,John Grik,"Hey, you!  You look a little weak to be handling a weapon like that.  Are you sure you can fight?",688 | 689,688 | 690,1021 | 1031 | 1041 | 2021 | 2031 | 2041 | 5021 | 5031 | 5041 | 6021 | 6031 | 6041 | 9021 | 9031 | 9041 | 15021 | 15031 | 15041
1,10,2,13,16,8000,1,Mark Dover,Wha wha whaaaaaaat?  Did you want something?,169,169,20003 | 21003 | 20088 | 21088 | 20173 | 21173 | 20006 | 21006 | 20091 | 21091 | 20176 | 21176 | 20011 | 21011 | 20096 | 21096 | 20181 | 21181
1,11,3,24,16,8000,1,Puko Harriot,Welcome! How can I help you?,,,22001 | 22002 | 22011 | 22012 | 22021 | 23001 | 23011 | 40001 | 40011
1,12,4,10,16,8000,1,Ashley Animus,"Oh jeez, who is this joker...  Oh! Hello there!  Welcome!",,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018 | 25028 | 25029 | 25030 | 25031 | 25032 | 25033 | 25034 | 25035 | 25036 | 25068 | 25069 | 25070 | 25071 | 25072
1,13,1,36,16,8000,2,Parphala Karniel,I only sell the finest weapons in the land.  Do no doubt my selection.  Please take a look around.,70,70 | 195,3001 | 3011 | 4001 | 4011 | 5006 | 5016 | 6006 | 6016 | 7006 | 7016 | 8006 | 8016 | 9001 | 9011 | 10001 | 10011 | 11001 | 11011 | 12006 | 12016 | 13006 | 13016 | 15001 | 15011
1,14,2,20,16,8000,2,Grisel Lisen,Yes?,69,69,35001 | 36001 | 33001 | 32001 | 35086 | 36086 | 33086 | 32086 | 35171 | 36171 | 33171 | 32171 | 34001
1,15,3,20,16,8000,2,Kisera Sera,Welcome traveller!  Please take a look around my shop.,205 | 227,205,
1,16,4,30,16,8000,2,Lamia Muren,Welcome. What kind of medicine are you looking for?,242,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,17,1,15,16,8000,2,Igel,What? Did you call my name? Am I hearing things?,71 | 72,71 | 196,3001 | 3011 | 4001 | 4011 | 5006 | 5016 | 6006 | 6016 | 7006 | 7016 | 8006 | 8016 | 9001 | 9011 | 10001 | 10011 | 11001 | 11011 | 12006 | 12016 | 13006 | 13016 | 15001 | 15011
1,18,2,15,16,8000,2,Zidden,"Hmm, I hope you didn't come here to ruin my shop? Those blasted animals have been doing a fine enough job already!",223,223,35001 | 36001 | 33001 | 32001 | 35086 | 36086 | 33086 | 32086 | 35171 | 36171 | 33171 | 32171 | 34001
1,19,3,48,16,8000,2,Denvie,What? Who are you? When did you arrive? What do you want? Well? Are you just going to stand there?,206,206,
1,20,4,48,16,8000,2,Legul,Teehee!  Really? You came to here to find me? You're cute! I have some fresh human meat if you'd like to share some with me?  Some say it's an aphrodisiac!,,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,21,1,27,16,8000,2,Vank Jerad,He... He... Hello?,984,984,3021 | 3031 | 3041 | 4021 | 4031 | 4041 | 5026 | 5036 | 5046 | 6026 | 6036 | 6046 | 7026 | 7036 | 7046 | 8026 | 8036 | 8046
1,22,2,27,16,8000,2,Dink Jerad,H...Hi?,985,985,35003 | 36003 | 35088 | 36088 | 35173 | 36173 | 35006 | 36006 | 35011 | 36011 | 35091 | 36091 | 35096 | 36096 | 35176 | 36176 | 35181 | 36181
1,23,3,30,16,8000,2,Sei Dearna,Welcome! What can I help you with?,,,22001 | 22002 | 22011 | 22012 | 22021 | 23001 | 23011 | 40001 | 40011
1,24,4,18,16,8000,2,Pren Rogers,What's up yo?,,90,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018 | 25028 | 25029 | 25030 | 25031 | 25032 | 25033 | 25034 | 25035 | 25036 | 25068 | 25069 | 25070 | 25071 | 25072
1,25,1,13,16,8000,1,Pyros Teklekanos,"So, what's the matter with you?",1433,,1071 | 2061 | 2071 | 5061 | 5071 | 6061 | 6071 | 7071 | 8071 | 9061 | 9071
1,26,2,41,16,8000,1,Kane Triden,"Aaah, welcome! You are my guest here.  How may i serve?",,,17106 | 17021 | 17191 | 17026 | 17111 | 17196 | 18021 | 18106 | 18191 | 18026 | 18111 | 18196
1,27,3,11,16,8000,1,Lie Jenylson,Treacherous weather wouldn't you say?  It's as if the elements have turned against us!  How can I sell things?  No one comes out on a day like this!,,,40003 | 40013 | 40022 | 22004 | 22014 | 22023 | 23004 | 23014 | 23023 | 40004 | 40014 | 40023
1,28,4,41,16,8000,1,Cider Gaygen,"Mmmmm, such a big strong one you are.  Please look around, I'll give you a special price. *wink*",134,,25019 | 25020 | 25022 | 25023 | 25025 | 25026 | 25037 | 25038 | 25028 | 25029 | 25030 | 25031 | 25032 | 25033 | 25034 | 25035 | 25036 | 25068 | 25069 | 25070 | 25071 | 25072 | 25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,29,1,20,16,8000,2,Luen Ireka,"You look scarred by battle.  Are you a mercenary?  If you are a true Mercenary, I might have something for you.",1434,,3071 | 4061 | 4071 | 5066 | 5076 | 6066 | 6076 | 7076 | 8076 | 9061 | 9071
1,30,2,20,16,8000,2,Vess Hisuren,Take a look around!  I offer only the finest armors.,,,32021 | 32106 | 32191 | 32026 | 32111 | 32196 | 33021 | 33106 | 33191 | 33026 | 33111 | 33196
1,31,3,30,16,8000,2,Dinet Arien,"Come in, come in!  Take a look around!  I offer the best prices around!",,,40003 | 40013 | 40022 | 22004 | 22014 | 22023 | 23004 | 23014 | 23023 | 40004 | 40014 | 40023
1,32,4,30,16,8000,2,Linni Visto,"Hello newcomer!  Please please, ask me for anything.  You might be surprised at how accomodating I can be.",145,,25019 | 25020 | 25022 | 25023 | 25025 | 25026 | 25037 | 25038 | 25028 | 25029 | 25030 | 25031 | 25032 | 25033 | 25034 | 25035 | 25036 | 25068 | 25069 | 25070 | 25071 | 25072 | 25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,33,1,26,16,8000,1,Jane Grik,"Hello, I'm Jane. I'm helping out here at my husband's business. Take a look around.",,,7021 | 7031 | 7041 | 8021 | 8031 | 8041 | 12021 | 12031 | 12041 | 13021 | 13031 | 13041 | 14021 | 14031 | 14041 | 10021 | 10031 | 10041
1,34,2,13,16,8000,1,Tashy Giraas,"It's an honor to assist Mark Captain! Please take whatever you need...  well, for a small fee of course.",28,30,18003 | 17003 | 18088 | 17088 | 18173 | 17173 | 18006 | 17006 | 18091 | 17091 | 18176 | 17176 | 18011 | 17011 | 18096 | 17096 | 18181 | 17181 | 19011 | 19021 | 19031 | 19041
1,35,1,37,16,8000,2,Losen Piettrei,"Looking for a sword that can can tear out your opponents heart in one hit?  I've got it right here!  Need an axe to decapitate twelve of your foes before a drop of blood hits the ground?  Oh my friend, do i have the axe for you! Come in brave warrior and take",1254,,9021 | 9031 | 9041 | 10021 | 10031 | 10041 | 11021 | 11031 | 11041 | 12026 | 12036 | 12046 | 13026 | 13036 | 13046 | 15021 | 15031 | 15041
1,36,2,37,16,8000,2,Larry Jerad,Please take a look around.  You might find new armor that suits your needs.  I must say what you are wearing is looking awfully ragged.,283,,33003 | 32003 | 33088 | 32088 | 33173 | 32173 | 33006 | 32006 | 33011 | 32011 | 33091 | 32091 | 33096 | 32096 | 33176 | 32176 | 33181 | 32181 | 34011 | 34021 | 34031 | 34041
1,37,5,42,16,8000,1,Linne Bersia,"*Sniffle* Oh when will this war end and bring home my...  Oh! Sorry, I didn't see you there.  Please come in.",,,
1,38,5,51,16,8000,1,Emma Broash,"I sent our only son to battlefield several years ago. Ever since, I have been tending this shop all alone.  This and the memories are all I have left of him...  I pray he comes home someday soon.  Please honor his memory by looking at what we have to offer.",,,
1,39,5,34,16,8000,1,Pede,Anything in particular you are looking for? This is all i've got right now.,279,279,
1,40,5,13,16,8000,1,Jeffrey,"Hmm, are you a guest in our town? Welcome. Take a look around, and let me know if anything catches your eye.",,,
1,41,5,24,16,8000,1,Lenoa,If you have anything to sell let me know.  I pay the best prices for used goods.  My selection is running a little low so I need to restock.,,,
1,42,5,10,16,8000,1,Cloie,"We have plenty of the lands' best items. They're not too expensive, so buy them now before it's too late!",,,
1,43,4,43,16,8000,1,Amanda Wis,"Young fellow, Do you want to buy a potion? It will definitely come in handy outside the village.",,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,44,5,13,16,8000,1,Joey,"Is there anything you need, friend?  I've got it all...  well except for some things, but those are coming in on the next wagon.",11 | 13,13,
1,45,5,10,16,8000,1,Judies,Hello traveler!  Welcome!  Please enjoy the peaceful tranquility of our village.,53,55 | 153 | 154,
1,46,4,38,16,8000,1,Canere Meve,I carry very special items here warrior!  Look!  A potion brewed and bottled using the refined spirit of Sia Mya!  Now tell me you've seen that before!  Hah!  I don't think so!,60,60,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,47,4,24,16,8000,1,Eki Kailos,You might want to be careful using these potions all the time.  I hear some adventurers become far too dependant on them.,,,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,48,3,13,16,8000,1,Beard Goodman,"Well, what is it you need?  Do you see anything?  Make sure you check all the shelves, you might find something good buried in there.",59 | 193 | 194,59 | 193,22001 | 22011 | 23001 | 23011
1,49,5,10,16,8000,1,Gardenia,Tell me if you've seen these wares anywhere else.  I try to keep my stock unique and fresh.  You selling anything?,50 | 838,838,
1,50,5,36,16,8000,2,Netin Kesia,Just be quick and don't ask me any questions.  If you ask me a question I'll have you removed from the premises.  Are you done yet?,,,
1,51,5,45,16,8000,2,Pancha,Anything interest you?,,,
1,52,5,31,16,8000,2,Ide Habita,"Buy something or go away, I don't have time for indecisive people.",,,
1,53,5,31,16,8000,2,Illa Gordie,"Oh my.  I haven't someone of your caliber for a long time.  I think I hear your pockets jingling! Please, take a look around.",807,808,
1,54,5,48,16,8000,2,Sasru,"Whatcha lookin for?  Don't ask me what we have, cuz i'm not really sure...  just look around and let me know if you find anything interesting.",87 | 149 | 150,87 | 149 | 150,
1,55,5,31,16,8000,2,Nadel,How can I help you?  Keep a smile on your face and you might get a discount.  Cause any problems and you might leave in a box.,,,
1,56,5,18,16,8000,2,Lalph,We've got only high quality items. So tell me what you want.,802 | 803,802,
1,57,5,45,16,8000,2,Monat,You are very lucky indeed! Our best items just came in today.,,,
1,58,5,15,16,8000,2,Muren,Business is horrible these days.  I can't even afford to buy my lunch.,1253,,
1,59,5,45,16,8000,2,Kunnel,What can I help you with?  See something you like?  How about this?  No?  Well what is it exactly you want?,106,,
1,60,4,30,16,8000,2,Pel Vikinium,Potions!  I got potions!  You need potions?  Step right up!,221 | 222,221,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,61,3,37,16,8000,2,Rachio Pisum,This is quality stuff considering we're just a small business.  We've even supplied the strongholds in the past.,96,96 | 283,22001 | 22011 | 23001 | 23011
1,62,5,36,16,8000,2,Ahera,Don't touch anything if you don't have money. All of these items are very expensive.,97,97,
1,63,4,45,16,8000,2,Petunia,"We are selling all kinds of potions. It's a very simple transaction.  You give me gold, I give you potions.",77,77,25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,64,3,15,16,8000,2,Londo,We are selling all kinds of stuff! Take a close look around and choose what you want!,231 | 284,231,22001 | 22011 | 23001 | 23011
1,65,5,15,16,8000,2,Sant,All I'm selling is expensive stuff. You had better not try to sell me something useless.,230 | 986,230 | 280 | 986,
1,66,5,13,16,8000,1,Piers Brunan,What kinds of items are you looking for?  I'm selling the necessities of life right here.,,,
1,67,5,20,16,8000,2,Foxy Trot,"What do you want? I can guarantee all items here are of perfect quality, so take a look around...  but don't touch!",,,
1,68,1,13,16,8000,1,Chrio Goodman,"What do you need?  Please don't waste my time, I'm in a very bad mood right now.",246 | 247 | 266 | 268,146 | 246 | 247 | 266 | 268,1021 | 2021 | 5021 | 6021 | 7021 | 8021 | 9021 | 12021 | 13021 | 14021 | 10021
1,69,1,18,16,8000,2,Mins Habita,"Young fellow, Do you want to buy a potion? It will definitely help you out when your hurt and stuck in the borderlands.",248 | 249 | 267 | 269,147 | 248 | 249 | 267 | 269,3021 | 4021 | 5026 | 6026 | 7026 | 8026 | 9021 | 10021 | 11021 | 12026 | 13026 | 15021
1,70,1,34,16,8000,1,Slypion Watersaga,"What do you need, sir?",,,10071 | 10081 | 12081 | 13061 | 13071 | 14061 | 14071 | 15061 | 15071
1,71,2,42,16,8000,1,Clasia Shainstone,What do you need?,,,20021 | 20106 | 20191 | 21021 | 21106 | 21191 | 20026 | 20111 | 20196 | 19071 | 21026 | 21111 | 21196
1,72,1,36,16,8000,2,Sila Carpenter,What do you need?,,,10071 | 10081 | 11061 | 11071 | 12086 | 13066 | 13076 | 15061 | 15071
1,73,2,37,16,8000,2,Seed Bloodstein,What do you need?,,,35021 | 35106 | 35191 | 36021 | 36106 | 36191 | 35026 | 35111 | 35196 | 34071 | 36026 | 36111 | 36196
1,74,1,41,16,8000,1,Raver Goodman,Take whatever you want! You need a good weapon to fight against Wyvern.,,,1041 | 1051 | 2041 | 5041 | 6041 | 7041 | 7051 | 8041 | 9041 | 10041 | 10051 | 12041 | 12051 | 13041 | 14041 | 15041
1,75,2,41,16,8000,1,Reed Miller,Um... uh... what?  Can I help you?  You need me to explain this to you?  What are you some sort of n00b?,,1146 | 1147 | 1150 | 1151 | 1154 | 1155 | 1158 | 1159,17011 | 17096 | 17181 | 18011 | 18096 | 18181 | 19041 | 20011 | 20016 | 20096 | 20101 | 20181 | 20186 | 21011 | 21096 | 21181
1,76,3,13,16,8000,1,Tbon Sheldon,"These are from capital city, so let me assure you of the quality of these items.",309,308,23002 | 23012 | 23021 | 40002 | 40012 | 40021
1,77,4,10,16,8000,1,Rochen Sheldon,I'm Rochen. I hope you are nicer than uncle Salmon.  He's a jerk.,324,323,25019 | 25020 | 25022 | 25023 | 25025 | 25026 | 25037 | 25038 | 27148 | 25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018 | 25028 | 25029 | 25030 | 25031 | 25032 | 25033 | 25034 | 25035 | 25036 | 25068 | 25069 | 25070 | 25071 | 25072
1,78,3,13,16,8000,1,Roader,I'm the tome and scroll merhcant.  I have here all the fables and stories of the land.  Are you interested in story-telling at all?  I love to write down people's stories.,367,367,40003 | 40013 | 40022
1,79,4,38,16,8000,1,Lumen Dulkies,Lumen's Special Reagent!  Cures all your ills!  Removes unsightly blemishes!  Cures baldness!  Brings back your lost cat!,,,25019 | 25020 | 25022 | 25023 | 25025 | 25026 | 25037 | 25038 | 25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018
1,80,0,42,16,8000,1,Mellania,"Young fellow, Do you want to buy a potion? It will definitely help you out when your hurt and alone.",,,
1,81,1,38,16,8000,1,Larsen Druimos,I'm Larsen understudy to Mr.Arsien... I wanna be a good honest person like him.,371 | 377,370 | 371 | 379,1061 | 2061 | 5061 | 6061 | 7061 | 8061 | 9061 | 10061 | 12071 | 13061 | 14061 | 15061
1,82,2,42,16,8000,1,Andantea Uska,"Ah, welcome. Make yourself at home.",369,368 | 369,17021 | 17106 | 17191 | 18021 | 18106 | 18191 | 19061 | 20021 | 20106 | 20191 | 21021 | 21106 | 21191
1,83,3,42,16,8000,1,Ersen Druimos,You can call me Ersen. My dream is to be a priest at the sanctuary worshipping Etein.,,,40003 | 40013 | 40022
1,84,4,42,16,8000,1,Prisien Shainstone,The flowers and trees look amazing right now. They all seem to be in bloom. The song of Lindellea must be the reason for this!,500,,25019 | 25020 | 25022 | 25023 | 25025 | 25026 | 25037 | 25038 | 25004 | 25005 | 25006 | 25010 | 25011 | 25012 | 25016 | 25017 | 25018 | 25028 | 25029 | 25030 | 25031 | 25032 | 25033 | 25034 | 25035 | 25036 | 25068 | 25069 | 25070 | 25071 | 25072
1,85,1,11,16,8000,1,Eh Teeyehn,Just pick something already.  I don't have time for this!  Can't you see I'm busy and visibly upset!  Why are you bothering me?  Do I know you?  I don't think i like you.  I don't think I like you at all.  Why are you still looking at me? Stop looking at me!,356 | 357,345 | 356 | 357,1061 | 2051 | 5051 | 6051 | 7061 | 8051 | 9051 | 10061 | 12061 | 13051 | 14051 | 15051
